name,school,place,category
 Charla Adkison , Kinston High School ," Kinston , Alabama ", 1985 Award | 7-12 Science 
 Sheryl Braile , Burtsfield Elementary School ," West Lafayette , Indiana ", 1991 Award | K-6 Science 
 Eva Brandsma , Lasley Elementary School ," Lakewood , Colorado ", 1991 Award | K-6 Mathematics 
 Steve Brehmer , Mayo High School ," Rochester , Minnesota ", 1991 Award | 7-12 Science 
 Linda Bridges , Mississippi School for Mathematics and Science ," Columbus , Mississippi ", 1991 Award | 7-12 Mathematics 
 Keith Bruning , Binictican Elementary School ," FPO San Francisco , California ", 1991 Award | K-6 Mathematics 
 Ann Caren , Cayuga Heights Elementary ," Ithaca , New York ", 1991 Award | K-6 Mathematics 
 Nathan Cattell , Ferguson Township Elementary ," Pine Grove Mills , Pennsylvania ", 1991 Award | K-6 Mathematics 
 Ronald Cefalo , Box Elder High School ," Brigham City , Utah ", 1991 Award | 7-12 Science 
 Marcia Chamberlain , Stillwater Middle School ," Stillwater , Oklahoma ", 1991 Award | 7-12 Science 
 Maureen Chapman-Fahey , John Marshall School ," Dorchester , Massachusetts ", 1991 Award | K-6 Mathematics 
 Charlaine Charlton , Montclair Kimberley Academy ," Montclair , New Jersey ", 1991 Award | 7-12 Mathematics 
 Sam Chattin , Scottsburg Middle School ," Scottsburg , Indiana ", 1991 Award | 7-12 Science 
 Judy Christiansen , West Ridge Elementary School ," Harlan , Iowa ", 1991 Award | K-6 Mathematics 
 Cheryl Cliett , SERVE ," Tallahassee , Florida ", 1991 Award | K-6 Mathematics 
 Carol Cobb , Elkridge Elementary School ," Elkridge , Maryland ", 1991 Award | K-6 Science 
 Bernard Collins , Stidwell Junior High ," Sandpoint , Idaho ", 1991 Award | 7-12 Science 
 Julianna Csongor , St. Maria Goretti High School for Girls ," Philadelphia , Pennsylvania ", 1991 Award | 7-12 Mathematics 
 Diana D'Aboy , Arlington Elementary School ," Spokane , Washington ", 1991 Award | K-6 Mathematics 
 Kim Davison , Woods Lake Elementary School ," Kalamazoo , Michigan ", 1991 Award | K-6 Mathematics 
 Isabel Guillen de Brito , Cupeyville School ," Rio Piedras , Puerto Rico ", 1991 Award | 7-12 Mathematics 
" Karen Dietrich, S.S.J. ", St. Rose High School ," Belmar , New Jersey ", 1991 Award | 7-12 Science 
 Nina DiMauro , Longfellow Elementary School ," Bozeman , Montana ", 1991 Award | K-6 Mathematics 
 Anita Domenech , Cupeyville School ," Rio Piedras , Puerto Rico ", 1991 Award | K-6 Mathematics 
 Marilee Donivan , , , 1991 Award | K-6 Science 
 John Donlan , Chesterfield Heights Elementary School ," Norfolk , Virginia ", 1991 Award | K-6 Science 
 Lawrence Dorsey-Spitz , Hellbeck Elementary School ," Pueblo , Colorado ", 1991 Award | K-6 Science 
 David Dougan , Ashland Community High School ," Ashland , Maine ", 1991 Award | 7-12 Science 
 Susan Duhaime , St. Anthony Elementary School ," Manchester , New Hampshire ", 1991 Award | K-6 Science 
 Carolyn Eck , Bradshaw High School ," Florence , Alabama ", 1991 Award | 7-12 Mathematics 
 Beatrice Epperson , McNary High School ," Keizer , Oregon ", 1991 Award | 7-12 Science 
 Andria Erzberger , Lawrence Berkeley Natl.Lab ," Berkeley , California ", 1991 Award | 7-12 Science 
" Ralph Feather, Jr. ", Derry Area Senior High School ," Derry , Pennsylvania ", 1991 Award | 7-12 Science 
 Judith Ferris , Paul D. Schreiber High School ," Port Washington , New York ", 1991 Award | 7-12 Science 
 Vicki Foster , Natrona County School District ," Casper , Wyoming ", 1991 Award | K-6 Science 
 Ruth Fukuchi , Mililani High School ," Mililani , Hawaii ", 1991 Award | 7-12 Science 
 Elizabeth Fulton , North Little Rock High School ," North Little Rock , Arkansas ", 1991 Award | 7-12 Science 
 Robert Garvey , St. Xavier High School ," Louisville , Kentucky ", 1991 Award | 7-12 Mathematics 
 Judith Gault , Heights Elementary School ," Fort Myers , Florida ", 1991 Award | K-6 Science 
 Richard Gehring , Sandpoint High School ," Sandpoint , Idaho ", 1991 Award | 7-12 Mathematics 
 Denise Goffman , Sweet Home Middle School ," Amherst , New York ", 1991 Award | 7-12 Mathematics 
 Jacqueline Goodloe , Burrville Elementary School ," Washington , District of Columbia ", 1991 Award | K-6 Mathematics 
 Betty Graham , E.J. Martinez Elementary ," Santa Fe , New Mexico ", 1991 Award | K-6 Science 
 Robert Grimm , William Fremd High School ," Palatine , Illinois ", 1991 Award | 7-12 Science 
 Bobbie Grissim , Walter Stokes Middle School ," Nashville , Tennessee ", 1991 Award | K-6 Science 
 Ann Haley MacKenzie , Miami University ," Oxford , Ohio ", 1991 Award | 7-12 Science 
 Charles Hatch , St. Albans School ," Washington , District of Columbia ", 1991 Award | K-6 Science 
 Robert Hayes , Tallassee High School ," Tallassee , Alabama ", 1991 Award | 7-12 Science 
 Judy Heard , Cheney Elementary School ," Fort Belvoir , Virginia ", 1991 Award | K-6 Mathematics 
 Trisha Herminghaus , O&apos;Malley Elementary School ," Anchorage , Alaska ", 1991 Award | K-6 Science 
 Hubert Hersey , St. George&apos;s School ," Newport , Rhode Island ", 1991 Award | 7-12 Science 
 Diane Hill , Ockerman Middle School ," Florence , Kentucky ", 1991 Award | 7-12 Science 
 Nusret Hisim , Walkersville High School ," Walkersville , Maryland ", 1991 Award | 7-12 Science 
 Patricia Holman , Mendenhall River School ," Juneau , Alaska ", 1991 Award | K-6 Mathematics 
 Ellen Hook , Granby High School ," Norfolk , Virginia ", 1991 Award | 7-12 Mathematics 
 Carolynn Howell , Palm Bay High School ," Melbourne , Florida ", 1991 Award | 7-12 Science 
 Cathryn Hund , St. Thomas Aquinas High School ," Overland Park , Kansas ", 1991 Award | 7-12 Mathematics 
 Carol Jahn , Campbell County High School ," Gillette , Wyoming ", 1991 Award | 7-12 Mathematics 
 Allen Janes , Red River High School ," Grand Forks , North Dakota ", 1991 Award | 7-12 Mathematics 
 Deborah Jeter , Wando High School ," Mt. Pleasant , South Carolina ", 1991 Award | 7-12 Mathematics 
 Dottie Johnson , Arkansas High School ," Texarkana , Arkansas ", 1991 Award | 7-12 Mathematics 
 Jenny Jorgensen , Bath Junior High School ," Bath , Maine ", 1991 Award | 7-12 Mathematics 
 Sachi Kanenaka , Windsor Hills Magnet ," Los Angeles , California ", 1991 Award | K-6 Science 
 Roger Kassebaum , Milken Community High School ," Los Angeles , California ", 1991 Award | 7-12 Science 
 Sarah Katchorek , Fox Elementary School ," Mt. Clemens , Michigan ", 1991 Award | K-6 Science 
 Leslie Kei , Bloomfield Junior High School ," Bloomfield , Connecticut ", 1991 Award | 7-12 Science 
 Marilyn Keir , Skyline High ," Salt Lake City , Utah ", 1991 Award | 7-12 Mathematics 
 Suzanne Kirby , Clinton Elementary School ," Lincoln , Nebraska ", 1991 Award | K-6 Science 
 Terry Kirchler , J.F. Drake Middle School ," Auburn , Alabama ", 1991 Award | K-6 Science 
 Steven Kirsch , St. Joseph&apos;s Indian School ," Chamberlain , South Dakota ", 1991 Award | 7-12 Science 
 Theresa Knapp Holtzclaw , Valley High School ," West Des Moines , Iowa ", 1991 Award | 7-12 Science 
 Roberta Koss , Redwood High School ," Larkspur , California ", 1991 Award | 7-12 Mathematics 
 Roland Lackey , Cuba High School ," Cuba , New Mexico ", 1991 Award | 7-12 Science 
 James Le'au , Tafuna High School ," Pago Pago , American Samoa ", 1991 Award | 7-12 Mathematics 
 Kathryn Lee , John Muir Elementary School ," Madison , Wisconsin ", 1991 Award | K-6 Science 
 Nancy Mercedes Lee , Roosevelt Roads Middle/HS ," Ceiba , Puerto Rico ", 1991 Award | 7-12 Science 
 Shirley LeMay , Calvin Coolidge School ," Shrewsbury , Massachusetts ", 1991 Award | K-6 Science 
 Judith Leonard , Narragansett Pier School ," Narragansett , Rhode Island ", 1991 Award | K-6 Mathematics 
 Prospero Lewis , John H. Woodson Junior High school ," Kingshill , Virgin Islands ", 1991 Award | 7-12 Science 
 Susan L. Lewis , Mary Hogan School ," Middlebury , Vermont ", 1991 Award | K-6 Science 
 Karen Lindig , Hillcrest Elementary School ," Del Valle , Texas ", 1991 Award | K-6 Mathematics 
 Lucille Lothrop , South Bristol Elementary ," South Bristol , Maine ", 1991 Award | K-6 Science 
 Trissa Luftig , Summerour Middle School ," Norcross , Georgia ", 1991 Award | 7-12 Science 
 Linda Madison , Cranford Public Schools ," Cranford , New Jersey ", 1991 Award | K-6 Science 
 Daniel E. Malone , Oak Glen High School ," New Cumberland , West Virginia ", 1991 Award | 7-12 Science 
 Candice Steiner Marshall , Truman Elementary School ," Kansas City , Missouri ", 1991 Award | K-6 Science 
 Marjorie Masino , Sandpiper Elementary School ," Scottsdale , Arizona ", 1991 Award | K-6 Science 
 Karen Mason , Rutherford Elementary ," Stillwater , Minnesota ", 1991 Award | K-6 Science 
 Lucy H. McCorkle , Cardozo Senior High School ," Washington , District of Columbia ", 1991 Award | 7-12 Science 
 Carol McGehe , Urbana Middle School ," Urbana , Illinois ", 1991 Award | 7-12 Mathematics 
 Kathleen McGree , Kenwood Elementary School ," Minneapolis , Minnesota ", 1991 Award | K-6 Mathematics 
 Joan Braunagel McShane , Jefferson Elementary School ," Davenport , Iowa ", 1991 Award | K-6 Science 
 Becky Meduna , Jefferson Elementary School ," Dickinson , North Dakota ", 1991 Award | K-6 Mathematics 
 Albert E. Menard , Savoie Elementary School ," Woonsocket , Rhode Island ", 1991 Award | K-6 Science 
 Graceann Merkel , Klondike Elementary School ," W. Lafayette , Indiana ", 1991 Award | K-6 Mathematics 
 Babette Merkert , Waukesha South High School ," Waukesha , Wisconsin ", 1991 Award | 7-12 Mathematics 
 Mary Jo Messenger , Centennial High School ," Ellicott City , Maryland ", 1991 Award | 7-12 Mathematics 
 William C. Metz , Cook-Wissahickon Elementary ," Philadelphia , Pennsylvania ", 1991 Award | K-6 Science 
 Richard Micheletto , Meadow Hill Middle School ," Missoula , Montana ", 1991 Award | 7-12 Science 
 Carol Midgett , Southport Elementary School ," Southport , North Carolina ", 1991 Award | K-6 Mathematics 
 Tamiko Miyagi , Bonanza High School ," Las Vegas , Nevada ", 1991 Award | 7-12 Mathematics 
 Carmen B. Morales , Villas de Castro ," Caguas , Puerto Rico ", 1991 Award | K-6 Science 
 Karen A. Moreau , Sherwood Forest Elementary ," Auburn , Washington ", 1991 Award | K-6 Science 
 Diana Munza , Fairmont Senior High ," Fairmont , West Virginia ", 1991 Award | 7-12 Mathematics 
 Kathleen Murrell , J. Frank Dobie High School ," Houston , Texas ", 1991 Award | 7-12 Mathematics 
 Janice Nelson , Kimball Junior High School ," Kimball , Nebraska ", 1991 Award | 7-12 Mathematics 
 Jeanne Nelson , Kamehameha Schools ," Honolulu , Hawaii ", 1991 Award | 7-12 Mathematics 
 Vicki Newman , McGaugh Elementary School ," Seal Beach , California ", 1991 Award | K-6 Mathematics 
 Geri Nielsen , Edmund Burke School ," Washington , District of Columbia ", 1991 Award | 7-12 Mathematics 
 Katheryn Nissen , North Stratfield School ," Fairfield , Connecticut ", 1991 Award | K-6 Science 
 Sara Normington , The Catlin Gabel School ," Portland , Oregon ", 1991 Award | 7-12 Mathematics 
 Linda North , Winkler School ," Carbondale , Illinois ", 1991 Award | K-6 Mathematics 
 Dale Nowlin , Central Middle School ," Columbus , Indiana ", 1991 Award | 7-12 Mathematics 
 Melany Nussbaumer , Riverside Middle School ," Saluda , South Carolina ", 1991 Award | 7-12 Science 
 Philip . Ogata , Boulder High School ," Boulder , Colorado ", 1991 Award | 7-12 Science 
 Renee O'Leary , Wilmington Manor Elementary ," New Castle , Delaware ", 1991 Award | K-6 Science 
 Rebecca Olson , Providence Elementary School ," Providence , Utah ", 1991 Award | K-6 Science 
 Linda O'Neill , Glendale Primary School ," Bedford , Ohio ", 1991 Award | K-6 Mathematics 
 Jennie Oney , Edison Kindergarten Center ," Carlsbad , New Mexico ", 1991 Award | K-6 Mathematics 
 Phyllis Pankey , Vergennes Union High School ," Vergennes , Vermont ", 1991 Award | 7-12 Science 
 Leslie Paoletti , Choate Rosemary Hall ," Wallingford , Connecticut ", 1991 Award | 7-12 Mathematics 
 Shirley Pauls , Alderwood Middle School ," Lynnwood , Washington ", 1991 Award | 7-12 Science 
 Celestine Pea , McKinley Middle Magnet School ," Baton Rouge , Louisiana ", 1991 Award | 7-12 Science 
 Jolene Peacock , Manti Elementary School ," Manti , Utah ", 1991 Award | K-6 Mathematics 
 Pamela Pelletier , Pelham High School ," Pelham , New Hampshire ", 1991 Award | 7-12 Science 
 Helen Perry , Mississippi School for Mathematics and Science ," Columbus , Mississippi ", 1991 Award | 7-12 Science 
 Sherry Petera , Gay Park Elementary School ," Belle Fourche , South Dakota ", 1991 Award | K-6 Mathematics 
 Patricia Pierce , , , 1991 Award | K-6 Mathematics 
 Bernadette Pothier Marchak , Coventry Junior High School ," Coventry , Rhode Island ", 1991 Award | 7-12 Mathematics 
 Lois Rector , University Laboratory School ," Baton Rouge , Louisiana ", 1991 Award | K-6 Mathematics 
 Alan Redmond , John Sevier Middle School ," Kingsport , Tennessee ", 1991 Award | 7-12 Science 
 Michael Reese , Moapa Valley High School ," Overton , Nevada ", 1991 Award | 7-12 Science 
 Charles Reidl , High School for Science ," Fort Worth , Texas ", 1991 Award | 7-12 Science 
 Patricia Reski , Fargo North High School ," Fargo , North Dakota ", 1991 Award | 7-12 Science 
 Glenda Reynolds , Lebhart Elementary School ," Cheyenne , Wyoming ", 1991 Award | K-6 Mathematics 
 Kathleen Rice , Moss Elementary School ," Sparks , Nevada ", 1991 Award | K-6 Mathematics 
 Mary Richards , Manawa Elementary School ," Manawa , Wisconsin ", 1991 Award | K-6 Mathematics 
 Judith Roach , Estes McDoniel Elementary ," Henderson , Nevada ", 1991 Award | K-6 Science 
 Judy Roach , Midwest City High School ," Midwest City , Oklahoma ", 1991 Award | 7-12 Mathematics 
 Catherine Robinson , Windsor Forest Elementary ," Savannah , Georgia ", 1991 Award | K-6 Science 
 Catherine Rogers , Jayenne Elementary School ," Fairmont , West Virginia ", 1991 Award | K-6 Science 
 Bob Rose , Wichita Collegiate School ," Wichita , Kansas ", 1991 Award | 7-12 Science 
 Wendy Rose , Wichita Collegiate School ," Wichita , Kansas ", 1991 Award | K-6 Science 
 Janice Russell , Anderson Elementary School ," Bristol , Tennessee ", 1991 Award | K-6 Mathematics 
 Barbara Salvo , Washington Park High School ," Racine , Wisconsin ", 1991 Award | 7-12 Science 
 Linda Sanchez , Taylor Middle School ," Albuquerque , New Mexico ", 1991 Award | 7-12 Mathematics 
 Mary Santilli , Read School ," Bridgeport , Connecticut ", 1991 Award | K-6 Mathematics 
" Therese Schoenherr, O.P. ", St. Martin de Porres High School ," Detroit , Michigan ", 1991 Award | 7-12 Science 
 Charlyn Shepherd , The Paideia School ," Atlanta , Georgia ", 1991 Award | 7-12 Mathematics 
 Susan Slesnick , Louisville Collegiate School ," Louisville , Kentucky ", 1991 Award | K-6 Mathematics 
 Linda Smith , A. J. Dimond High School ," Anchorage , Alaska ", 1991 Award | 7-12 Mathematics 
 Paula Smith , Booker T. Washington Magnet ," Little Rock , Arkansas ", 1991 Award | K-6 Mathematics 
 Edith Sparre , Jonas Clarke Middle School ," Lexington , Massachusetts ", 1991 Award | 7-12 Mathematics 
 Beverly Stanford , Howard Hedger Elementary ," Aberdeen , South Dakota ", 1991 Award | K-6 Science 
 Diane Stone , Philomath Elementary School ," Philomath , Oregon ", 1991 Award | K-6 Mathematics 
 Marilyn Stor , Arvada High School ," Arvada , Colorado ", 1991 Award | 7-12 Mathematics 
 Linda Stroud , Needham B. Broughton High School ," Raleigh , North Carolina ", 1991 Award | 7-12 Science 
 Pamela Stryker , Harvey S. Williams Elementary ," Austin , Texas ", 1991 Award | K-6 Science 
 Debra Stuto , Catlin Elementary School ," Omaha , Nebraska ", 1991 Award | K-6 Mathematics 
 Curtis Tauke , Monticello Middle/High School ," Monticello , Iowa ", 1991 Award | 7-12 Mathematics 
 Carol Taylor , Mast Landing School ," Freeport , Maine ", 1991 Award | K-6 Science 
 Carolyn Taylor , Rumson Country Day School ," Rumson , New Jersey ", 1991 Award | K-6 Mathematics 
 Frank Taylor , Radford High School ," Radford , Virginia ", 1991 Award | 7-12 Science 
 Daniel Teague , North Carolina School of Science and Mathematics ," Durham , North Carolina ", 1991 Award | 7-12 Mathematics 
 Robert Terwillegar , Indian Hill Elementary School ," Cincinnati , Ohio ", 1991 Award | K-6 Science 
 Anne Thompson , Washington High School ," Sioux Falls , South Dakota ", 1991 Award | 7-12 Mathematics 
 Donna Tiapula , Alofau Consolidated Elementary ," Alofau , American Samoa ", 1991 Award | K-6 Science 
 Marsha Tischler , Spoede Elementary School ," Creve Coeur , Missouri ", 1991 Award | K-6 Mathematics 
 Lee Townsend , Stokesdale Elementary School ," Stokesdale , North Carolina ", 1991 Award | K-6 Science 
 Marlene Triplett , Orofino Elementary School ," Orofino , Idaho ", 1991 Award | K-6 Mathematics 
 Carolyn Tyson , Muller Elementary School ," St. Thomas , Virgin Islands ", 1991 Award | K-6 Mathematics 
 Carol Van De Walle , AlWood Elementary School ," Alpha , Illinois ", 1991 Award | K-6 Science 
 Virginia VanHazinga , Exeter AREA High School ," Exeter , New Hampshire ", 1991 Award | 7-12 Mathematics 
 Peter Vasek , Laramie Senior High School ," Laramie , Wyoming ", 1991 Award | 7-12 Science 
 Donald Volz , Mannheim High School ," APO , Armed Forces Europe ", 1991 Award | 7-12 Science 
 Linda Walker , Cobb Middle School ," Tallahassee , Florida ", 1991 Award | 7-12 Mathematics 
 Debra Ward , Carlisle Elementary School ," Carlisle , Arkansas ", 1991 Award | K-6 Science 
 Nancy Watson , Jonesville Jr./Sr. High School ," Jonesville , Michigan ", 1991 Award | 7-12 Mathematics 
 Larry Weathers , The Bromfield School ," Harvard , Massachusetts ", 1991 Award | 7-12 Science 
